"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
2.65,0,0,0,297232.706410389,257232.706410389,1,4.5415050595535e-47,0,0
2.7,0,0,0,309745.770299578,269745.770299578,1,1.0435561438178e-49,0,0
2.75,0,0,0,321965.710444581,281965.710444581,1,2.98858936151736e-52,0,0
2.8,0,0,0,333884.768734221,293884.768734221,1,1.05445467381652e-54,0,0
2.85,0,0,0,345499.094847849,305499.094847849,1,4.53398466416268e-57,0,0
2.9,0,0,0,356808.358111238,316808.358111238,1,2.35193558144239e-59,0,0
2.95,0,0,0,367814.615236216,327814.615236216,1,1.4579822999267e-61,0,0
3,0,0,0,378521.856744574,338521.856744574,1,1.07056099039941e-63,0,0
0.1,0.05,490000,490000,101.266012075541,101.266012075541,0,1,490101.266012076,490101.266012076
0.15,0.05,0,0,120.693680035262,120.693680035262,0,0.999232240895685,120.693680035262,120.693680035262
0.2,0.05,0,0,141.776865873982,141.776865873982,0,0.998761208856922,141.776865873982,141.776865873982
0.25,0.05,0,10000,165.941544105603,165.941544105603,0,0.998376863691739,165.941544105603,10165.9415441056
0.3,0.05,0,9999.99999999997,193.967484604229,193.967484604229,0,0.998015525389802,193.967484604229,10193.9674846042
0.35,0.05,0,10000,226.674110984266,226.674110984266,0,0.997649100218441,226.674110984266,10226.6741109843
0.4,0.05,0,10000,265.008452067183,265.008452067183,0,0.997261872427164,265.008452067183,10265.0084520672
0.45,0.05,0,10000,310.095009842859,310.095009842859,0,0.996847065150688,310.095009842859,10310.0950098429
0.5,0.05,0,20000,363.285536213335,363.285536213335,0,0.996380352220746,363.285536213335,20363.2855362133
0.55,0.05,0,20000,426.210710128957,426.210710128957,0,0.995874335533165,426.210710128957,20426.210710129
0.6,0.05,0,20000,500.857686710569,500.857686710569,0,0.995297147004441,500.857686710569,20500.8576867106
0.65,0.05,0,20000,589.640774970789,589.640774970789,0,0.994651143426705,589.640774970789,20589.6407749708
0.7,0.05,0,20000,695.505887664721,695.505887664721,0,0.993906204526374,695.505887664721,20695.5058876647
0.75,0.05,0,20000,822.057727996249,822.057727996249,0,0.993042348272576,822.057727996249,20822.0577279962
0.8,0.05,0,30000,973.715703320195,973.715703320195,0,0.992060679495567,973.715703320195,30973.7157033202
0.85,0.05,0,30000,1155.89771470162,1155.89771470162,0,0.990912648818328,1155.89771470162,31155.8977147016
0.9,0.05,0,30000,1375.25539892332,1375.25539892332,0,0.989562765867999,1375.25539892332,31375.2553989233
0.95,0.05,0,30000.0000000001,1639.97072771845,1639.97072771845,0,0.987968375812104,1639.97072771845,31639.9707277185
1,0.05,0,30000,1960.10949759625,1960.10949759625,0,0.986074622419511,1960.10949759625,31960.1094975963
