"ntau","param","before","after"
46000,2000200,0.257978512174859,0.762192114251938
47000,2000200,0.247437057536777,0.758079994050958
48000,2000200,0.237014811981758,0.753069181728074
49000,2000200,0.226723982016564,0.748829586744314
50000,2000200,0.216576669643771,0.744531577604357
0,2100200,0,0
1000,2100200,0,0
2000,2100200,0.98447792008523,0.988361442387214
3000,2100200,0.969883831802654,0.982781053133688
4000,2100200,0.953926543180411,0.97709923647409
5000,2100200,0.937723845547088,0.971350064494371
6000,2100200,0.920450697628257,0.965658895018289
7000,2100200,0.901992302312768,0.959966723487643
8000,2100200,0.883790786513342,0.954436147618957
9000,2100200,0.863999193246296,0.948768092631596
10000,2100200,0.845012204863467,0.943308195661143
11000,2100200,0.825766887118922,0.937773231282906
12000,2100200,0.806790294099359,0.932246606029882
13000,2100200,0.785921228073029,0.926816919074224
14000,2100200,0.766012084226082,0.921276679748803
15000,2100200,0.747661810367425,0.915983940891071
16000,2100200,0.728080674586638,0.910696650798506
17000,2100200,0.707233028798105,0.905096883420442
18000,2100200,0.688873177242439,0.899928102571929
19000,2100200,0.669605308960575,0.894497138696853
20000,2100200,0.649426151577134,0.889209408774513
21000,2100200,0.628339200988313,0.884111008280547
22000,2100200,0.610824140757169,0.878796694579849
23000,2100200,0.592746017730039,0.87372909861483
24000,2100200,0.574119946886416,0.868467787192113
25000,2100200,0.554965237348637,0.863512065666175
26000,2100200,0.540266677225894,0.858387187303116
27000,2100200,0.520248817836777,0.853088749545885
28000,2100200,0.504939070251949,0.848168121823489
29000,2100200,0.489393368849459,0.843099977968317
30000,2100200,0.47363030926883,0.838468812962502
31000,2100200,0.457670172806133,0.833113794964552
32000,2100200,0.441535244653788,0.828222483299358
33000,2100200,0.425250067860086,0.823839424462801
34000,2100200,0.408841022743415,0.818710221982737
35000,2100200,0.39784668205271,0.814115845879558
36000,2100200,0.381294936368473,0.808741588336253
37000,2100200,0.370234026703388,0.80392947393558
38000,2100200,0.353627492303555,0.799722290050003
39000,2100200,0.342561285018337,0.794716337108891
40000,2100200,0.331511233879338,0.790341219118585
41000,2100200,0.314990655184413,0.785137324688288
42000,2100200,0.304029641542944,0.780590618867964
43000,2100200,0.293124251914684,0.775963553436307
44000,2100200,0.282286199384278,0.771255430196393
45000,2100200,0.27152751916071,0.767269591814663
46000,2100200,0.260860216744822,0.762411007550253
47000,2100200,0.250296438042605,0.757469695233477
48000,2100200,0.239848373375812,0.753288219138067
49000,2100200,0.229528169271249,0.749048486522712
50000,2100200,0.224419849077926,0.744750205371947
0,2200200,0,0
1000,2200200,0,0
2000,2200200,0.984578348829421,0.98834385855008
3000,2200200,0.969973336734039,0.98281138459491
4000,2200200,0.954682768102691,0.977058305301338
5000,2200200,0.938030739113157,0.971412755851178
6000,2200200,0.920876236950051,0.965733866908742
7000,2200200,0.902545305305272,0.960053453888582
8000,2200200,0.884469541011302,0.95435566881155
