"ntau","D2","pe"
10300,1,0.685541468860245
10400,1,0.682211822573471
10500,1,0.682211822573471
10600,1,0.678853474819399
10700,1,0.675466389482985
10800,1,0.672050536795159
10900,1,0.668605893515086
11000,1,0.665132443116846
11100,1,0.661630175977886
11200,1,0.658099089569604
11300,1,0.658099089569604
11400,1,0.654539188649975
11500,1,0.650950485458028
11600,1,0.647332999910908
11700,1,0.643686759801369
11800,1,0.643686759801369
11900,1,0.64001191866958
12000,1,0.636308284178336
12100,1,0.632576027769915
12200,1,0.628815210757279
12300,1,0.628815210757279
12400,1,0.625025903344643
12500,1,0.621208184834465
12600,1,0.617362143835439
12700,1,0.617362143835439
12800,1,0.613487878471381
12900,1,0.609585496590832
13000,1,0.609585496590832
13100,1,0.60565511597724
13200,1,0.601696864559545
13300,1,0.597710880623008
13400,1,0.597710880623008
13500,1,0.59369731302009
13600,1,0.589656321381206
13700,1,0.589656321381206
13800,1,0.585588076325145
13900,1,0.581492866579079
14000,1,0.581492866579079
14100,1,0.577370670373021
14200,1,0.573221800634252
14300,1,0.573221800634252
14400,1,0.569046474025397
14500,1,0.564844919237144
14600,1,0.564844919237144
14700,1,0.560617377192062
14800,1,0.560617377192062
14900,1,0.556364101246492
15000,1,0.552085357390082
15100,1,0.552085357390082
15200,1,0.547781424443064
15300,1,0.543452594250485
15400,1,0.543452594250485
15500,1,0.539099171873458
15600,1,0.539099171873458
15700,1,0.534721475776989
15800,1,0.534721475776989
15900,1,0.530319838014067
16000,1,0.525894604405703
16100,1,0.525894604405703
16200,1,0.521446134716572
16300,1,0.521446134716572
16400,1,0.516974897877752
16500,1,0.516974897877752
16600,1,0.512481090750914
16700,1,0.507965212186418
16800,1,0.507965212186418
16900,1,0.503427679379671
17000,1,0.503427679379671
17100,1,0.498868924269408
17200,1,0.498868924269408
17300,1,0.494289393679255
17400,1,0.494289393679255
17500,1,0.48968954945225
17600,1,0.48968954945225
17700,1,0.485069868577893
17800,1,0.485069868577893
17900,1,0.48043093173686
18000,1,0.48043093173686
18100,1,0.475773068819728
18200,1,0.475773068819728
18300,1,0.471096892248153
18400,1,0.471096892248153
18500,1,0.466402940703687
18600,1,0.466402940703687
18700,1,0.461691768522383
18800,1,0.461691768522383
18900,1,0.456963945767605
19000,1,0.456963945767605
19100,1,0.452220058293148
19200,1,0.452220058293148
19300,1,0.447460790073651
19400,1,0.447460790073651
19500,1,0.442686592929915
19600,1,0.442686592929915
19700,1,0.437898183825847
19800,1,0.437898183825847
19900,1,0.433096212168864
20000,1,0.433096212168864
20100,1,0.428281343291799
20200,1,0.428281343291799
20300,1,0.428281343291799
20400,1,0.423454258441254
20500,1,0.423454258441254
20600,1,0.418615654751873
20700,1,0.418615654751873
20800,1,0.413766245206017
20900,1,0.413766245206017
21000,1,0.408906758578316
21100,1,0.408906758578316
21200,1,0.408906758578316
21300,1,0.40403793936461
21400,1,0.40403793936461
21500,1,0.399160547694752
21600,1,0.399160547694752
21700,1,0.399160547694752
21800,1,0.394275359228775
21900,1,0.394275359228775
22000,1,0.389383165035911
22100,1,0.389383165035911
22200,1,0.384484842214919
22300,1,0.384484842214919
22400,1,0.384484842214919
22500,1,0.379581069752903
22600,1,0.379581069752903
22700,1,0.374672824659078
22800,1,0.374672824659078
22900,1,0.374672824659078
23000,1,0.369760819082672
23100,1,0.369760819082672
23200,1,0.364845988773498
23300,1,0.364845988773498
23400,1,0.364845988773498
23500,1,0.359929213692957
23600,1,0.359929213692957
23700,1,0.359929213692957
23800,1,0.355011387843302
23900,1,0.355011387843302
24000,1,0.350093418991991
24100,1,0.350093418991991
24200,1,0.350093418991991
24300,1,0.345176228374666
24400,1,0.345176228374666
24500,1,0.345176228374666
24600,1,0.340260750376354
24700,1,0.340260750376354
