"D1","D2","norm_auc"
2.58,1,0.0396478341279704
2.6,1,0.0397200516885408
2.62,1,0.0395045346466164
2.64,1,0.0393645111400192
2.66,1,0.0393845528990403
2.68,1,0.0391373498213548
2.7,1,0.0391233517694617
2.72,1,0.0388895000634529
2.74,1,0.0387711501918489
2.76,1,0.0385253812860087
2.78,1,0.0387594046391979
2.8,1,0.0384807708168155
2.82,1,0.0383703712502057
2.84,1,0.0381725703383418
2.86,1,0.0381679341362402
2.88,1,0.0380128382829081
2.9,1,0.037847913943969
2.92,1,0.0378053552240288
2.94,1,0.037603543432909
2.96,1,0.0377278341316952
2.98,1,0.0375211506047643
3,1,0.0376218501561957
1,1.02,0.0686961645323707
1.02,1.02,0.0704912677644809
1.04,1.02,0.0718697612200364
1.06,1.02,0.072847996457068
1.08,1.02,0.0734203952872446
1.1,1.02,0.0736530156620484
1.12,1.02,0.0736077876599427
1.14,1.02,0.0734164525240762
1.16,1.02,0.0729839645229989
1.18,1.02,0.0724226144536055
1.2,1.02,0.0717538262650095
1.22,1.02,0.0709444504063963
1.24,1.02,0.0701674518508918
1.26,1.02,0.0693994551103682
1.28,1.02,0.0684848555750096
1.3,1.02,0.0676195354962589
1.32,1.02,0.0667915333518692
1.34,1.02,0.0659010704975508
1.36,1.02,0.0649926725554798
1.38,1.02,0.0641831533467954
1.4,1.02,0.0633913917322112
1.42,1.02,0.0625191821994459
1.44,1.02,0.0617880204311968
1.46,1.02,0.0610296144380079
1.48,1.02,0.0602700570003155
1.5,1.02,0.0596316953306296
1.52,1.02,0.0588681963820384
1.54,1.02,0.0582419838911232
1.56,1.02,0.0575243430064547
1.58,1.02,0.0568308185835169
1.6,1.02,0.0562766878529123
1.62,1.02,0.0556476783131059
1.64,1.02,0.0551394786753169
1.66,1.02,0.0545087906198544
1.68,1.02,0.0539754192832329
1.7,1.02,0.0535385566069017
1.72,1.02,0.0529000107823501
1.74,1.02,0.0525371288132365
1.76,1.02,0.0519055482709719
1.78,1.02,0.0515781722390283
1.8,1.02,0.0512169036481959
1.82,1.02,0.0506056851945556
1.84,1.02,0.0504552320969735
1.86,1.02,0.0499286319456785
1.88,1.02,0.0495636518760239
1.9,1.02,0.0492498420776478
1.92,1.02,0.0489747417321529
1.94,1.02,0.0485598457171743
1.96,1.02,0.0481868623036105
1.98,1.02,0.0477557679973235
2,1.02,0.0473165026083007
2.02,1.02,0.0471580768586292
2.04,1.02,0.0469907307647662
2.06,1.02,0.0463772673502311
2.08,1.02,0.0462063989927893
2.1,1.02,0.0459217288620194
2.12,1.02,0.0457855502581512
2.14,1.02,0.0455125920955759
2.16,1.02,0.0451930963645054
2.18,1.02,0.0449889002882185
2.2,1.02,0.0445980831990961
2.22,1.02,0.044576685889539
2.24,1.02,0.0442861404812601
2.26,1.02,0.0439660895257711
2.28,1.02,0.0437097058444378
2.3,1.02,0.0435795452817756
2.32,1.02,0.0434111790822569
2.34,1.02,0.0430507187078114
2.36,1.02,0.042856949518889
2.38,1.02,0.0429543531814253
2.4,1.02,0.0427156036464615
2.42,1.02,0.0424161098811147
2.44,1.02,0.042395712520286
2.46,1.02,0.0421325732140543
2.48,1.02,0.0420581105608713
2.5,1.02,0.0416654973108848
2.52,1.02,0.0416352173760714
2.54,1.02,0.0414797255156493
2.56,1.02,0.0411145718705219
2.58,1.02,0.0409445391654995
2.6,1.02,0.0410206117630101
2.62,1.02,0.0407849190280853
2.64,1.02,0.0406350327931598
2.66,1.02,0.0406569501555536
2.68,1.02,0.0403906431790949
2.7,1.02,0.0403772144316721
2.72,1.02,0.0401273115625157
2.74,1.02,0.0400005117760127
2.76,1.02,0.0397409418820757
2.78,1.02,0.0399783168562944
2.8,1.02,0.0396843614090675
2.82,1.02,0.0395708185638104
2.84,1.02,0.0393612773427873
2.86,1.02,0.0393450323461771
2.88,1.02,0.0391852889790967
2.9,1.02,0.039015957581308
2.92,1.02,0.0389600382145848
2.94,1.02,0.0387515290059621
2.96,1.02,0.0388753208035752
2.98,1.02,0.0386641272435743
3,1.02,0.0387628744841473
1,1.04,0.0741552906490841
1.02,1.04,0.075727884342906
1.04,1.04,0.076881660615233
1.06,1.04,0.0776396985626838
1.08,1.04,0.0779982799015108
1.1,1.04,0.0780243219586626
1.12,1.04,0.0777836866818651
1.14,1.04,0.077415397085413
1.16,1.04,0.0768133894061282
1.18,1.04,0.0760955729012697
1.2,1.04,0.0752811595131188
1.22,1.04,0.0743334487549248
1.24,1.04,0.0734289044329179
1.26,1.04,0.0725485004225643
1.28,1.04,0.071524971237838
1.3,1.04,0.0705547000671808
1.32,1.04,0.0696354559094483
1.34,1.04,0.0686545923655142
1.36,1.04,0.0676572438769765
1.38,1.04,0.0667719672415282
1.4,1.04,0.0659072084629858
1.42,1.04,0.0649657091209442
1.44,1.04,0.0641734457488818
