"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
1.98,1,4000,24000,1520.6830579724,1520.6830579724,0,0.981234675589204,5520.6830579724,25520.6830579724
2,1,4000,24000,1474.69884048876,1474.69884048876,0,0.981800103379127,5474.69884048876,25474.6988404888
2.02,1,4000,24000.0000000001,1431.10058275755,1431.10058275755,0,0.982403088536098,5431.10058275755,25431.1005827576
2.04,1,4000,24000,1389.73943107819,1389.73943107819,0,0.98296090953653,5389.73943107819,25389.7394310782
2.06,1,4000,24000,1350.46393068542,1350.46393068542,0,0.983477217756073,5350.46393068542,25350.4639306854
2.08,1,4000,24000,1313.12710315711,1313.12710315711,0,0.984033639422269,5313.12710315711,25313.1271031571
2.1,1,4000,24000,1277.60749363799,1277.60749363799,0,0.984474497185655,5277.60749363799,25277.607493638
2.12,1,4000,24000,1243.79300719341,1243.79300719341,0,0.984958105269437,5243.79300719341,25243.7930071934
2.14,1,4000,24000,1211.56946950745,1211.56946950745,0,0.985333857978284,5211.56946950745,25211.5694695074
2.16,1,4000,24000,1180.83446800341,1180.83446800341,0,0.985754463029301,5180.83446800341,25180.8344680034
2.18,1,4000,24000,1151.50299603041,1151.50299603041,0,0.986146112085981,5151.50299603041,25151.5029960304
2.2,1,4000,24000,1123.48894791151,1123.48894791151,0,0.986510719260433,5123.48894791151,25123.4889479115
2.22,1,4000,23999.9999999999,1096.71517460515,1096.71517460515,0,0.986849806837439,5096.71517460515,25096.7151746051
2.24,1,4000,24000,1071.09856609072,1071.09856609072,0,0.987235587159596,5071.09856609072,25071.0985660907
2.26,1,4000,24000,1046.58124044382,1046.58124044382,0,0.987528080659489,5046.58124044382,25046.5812404438
2.28,1,4000,24000,1023.10081240193,1023.10081240193,0,0.987867800773822,5023.10081240193,25023.1008124019
2.3,1,3999.99999999999,24000,1000.59485157032,1000.59485157032,0,0.988119142948036,5000.59485157031,25000.5948515703
2.32,1,4000,24000,979.006561861148,979.006561861148,0,0.988418747260965,4979.00656186115,24979.0065618611
2.34,1,4000,24000,958.291970338438,958.291970338438,0,0.988699346853084,4958.29197033844,24958.2919703384
2.36,1,4000,24000,938.401208746194,938.401208746194,0,0.988962279708838,4938.40120874619,24938.4012087462
2.38,1,4000,24000,919.28924446416,919.28924446416,0,0.98920875965211,4919.28924446416,24919.2892444642
2.4,1,4000,24000,900.915425982844,900.915425982844,0,0.989439349159412,4900.91542598284,24900.9154259828
2.42,1,4000,24000,883.243081010589,883.243081010589,0,0.989655053813414,4883.24308101059,24883.2430810106
2.44,1,4000,24000,866.238094927543,866.238094927543,0,0.989919152500633,4866.23809492754,24866.2380949275
2.46,1,4000,24000,849.852495307478,849.852495307478,0,0.990106966630035,4849.85249530748,24849.8524953075
2.48,1,4000,24000,834.074661188949,834.074661188949,0,0.990282163384795,4834.07466118895,24834.0746611889
2.5,1,4000,24000,818.859014525985,818.859014525985,0,0.990506053852273,4818.85901452599,24818.859014526
2.52,1,4000,24000,804.193223684007,804.193223684007,0,0.990717689745072,4804.19322368401,24804.193223684
2.54,1,4000,24000,790.032930327053,790.032930327053,0,0.990857823757169,4790.03293032705,24790.0329303271
2.56,1,4000,24000,776.365703832854,776.365703832854,0,0.991046916657154,4776.36570383285,24776.3657038329
2.58,1,4000,24000,763.167765525693,763.167765525693,0,0.991225339292149,4763.16776552569,24763.1677655257
2.6,1,4000,24000,750.415642847868,750.415642847868,0,0.991393840956716,4750.41564284787,24750.4156428479
2.62,1,4000.00000000001,24000,738.087953734525,738.087953734525,0,0.991552571386081,4738.08795373453,24738.0879537345
2.64,1,4000,24000.0000000001,726.165231681051,726.165231681051,0,0.991701993344758,4726.16523168105,24726.1652316811
2.66,1,4000,24000,714.629769286433,714.629769286433,0,0.991842705278638,4714.62976928643,24714.6297692864
2.68,1,4000,24000,703.465478480621,703.465478480621,0,0.991975442161492,4703.46547848062,24703.4654784806
2.7,1,4000,24000,692.65776584855,692.65776584855,0,0.992099804320089,4692.65776584855,24692.6577658486
2.72,1,4000,24000,682.186325919671,682.186325919671,0,0.992272035623172,4682.18632591967,24682.1863259197
2.74,1,4000,24000,672.035552036957,672.035552036957,0,0.992381377605164,4672.03555203696,24672.035552037
2.76,1,4000,24000,662.202666153472,662.202666153472,0,0.99248376975613,4662.20266615347,24662.2026661535
2.78,1,4000,24000,652.658650014817,652.658650014817,0,0.992633862689281,4652.65865001482,24652.6586500148
2.8,1,4000,24000,643.407823864383,643.407823864383,0,0.992722615665045,4643.40782386438,24643.4078238644
2.82,1,4000,24000,634.421751614339,634.421751614339,0,0.99285929656129,4634.42175161434,24634.4217516143
2.84,1,4000,28000,625.705358326574,625.705358326574,0,0.992989278999007,4625.70535832657,28625.7053583266
2.86,1,4000,24000,617.236951273202,617.236951273202,0,0.993060331918277,4617.2369512732,24617.2369512732
2.88,1,4000,24000,609.008186487899,609.008186487899,0,0.993178673264256,4609.0081864879,24609.0081864879
2.9,1,4000,28000,601.014482453788,601.014482453788,0,0.993291028255835,4601.01448245379,28601.0144824538
2.92,1,4000,24000,593.245269292481,593.245269292481,0,0.993398038467703,4593.24526929248,24593.2452692925
2.94,1,4000,28000,585.69081214235,585.69081214235,0,0.993499591128202,4585.69081214235,28585.6908121424
2.96,1,4000,28000,578.341508269142,578.341508269142,0,0.9935446171745,4578.34150826914,28578.3415082691
2.98,1,4000,24000,571.1889637237,571.1889637237,0,0.993636802506462,4571.1889637237,24571.1889637237
3,1,4000,28000,564.22846549907,564.22846549907,0,0.993724088076846,4564.22846549907,28564.2284654991
1,1.02,0,0,46063.5793955246,42063.5793955246,1,0.547335966360735,0,0
1.02,1.02,0,0,41094.1421430176,37094.1421430176,1,0.590653870004875,0,0
1.04,1.02,0,0,36780.4287995869,32780.4287995869,1,0.630853620185856,0,0
