"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
1.56,1,4000,24000,3607.34356471368,3607.34356471368,0,0.953991817940484,7607.34356471368,27607.3435647137
1.58,1,4000,24000,3419.37971282547,3419.37971282547,0,0.956607930513214,7419.37971282547,27419.3797128255
1.6,1,4000,24000,3246.28804764759,3246.28804764759,0,0.95908053921449,7246.28804764759,27246.2880476476
1.62,1,4000,24000,3086.61217265359,3086.61217265359,0,0.96131683461955,7086.61217265359,27086.6121726536
1.64,1,4000,24000,2939.01722798997,2939.01722798997,0,0.963446482827533,6939.01722798997,26939.01722799
1.66,1,8000.00000000001,24000,2802.37310712269,2802.37310712269,0,0.965379466287869,10802.3731071227,26802.3731071227
1.68,1,8000,24000,2675.6377841358,2675.6377841358,0,0.967136383870206,10675.6377841358,26675.6377841358
1.7,1,8000.00000000002,24000,2557.90621069318,2557.90621069318,0,0.968734988274364,10557.9062106932,26557.9062106932
1.72,1,7999.99999999999,24000,2448.35339789161,2448.35339789161,0,0.970281551462065,10448.3533978916,26448.3533978916
1.74,1,8000.00000000004,24000,2346.26374707606,2346.26374707606,0,0.971694042790098,10346.2637470761,26346.2637470761
1.76,1,8000.00000000003,24000,2250.98352185277,2250.98352185277,0,0.972984992039044,10250.9835218528,26250.9835218528
1.78,1,7999.99999999998,24000,2161.93771251512,2161.93771251512,0,0.974248564895795,10161.9377125151,26161.9377125151
1.8,1,7999.99999999997,24000,2078.58318787793,2078.58318787793,0,0.975328254048237,10078.5831878779,26078.5831878779
1.82,1,7999.99999999996,24000,2000.46691849244,2000.46691849244,0,0.976395423114418,10000.4669184924,26000.4669184924
1.84,1,8000,24000,1927.16361374686,1927.16361374686,0,0.977376035355622,9927.16361374686,25927.1636137469
1.86,1,8000,24000,1858.28726775973,1858.28726775973,0,0.978351047744063,9858.28726775973,25858.2872677597
1.88,1,8000,24000,1793.4852584817,1793.4852584817,0,0.97917988250389,9793.4852584817,25793.4852584817
1.9,1,8000,24000,1732.45271698182,1732.45271698182,0,0.980012375742599,9732.45271698182,25732.4527169818
1.92,1,8000,24000,1674.90335030374,1674.90335030374,0,0.980781499086461,9674.90335030374,25674.9033503037
1.94,1,8000,24000,1620.57624601377,1620.57624601377,0,0.981492812024234,9620.57624601377,25620.5762460138
1.96,1,8000,24000,1569.24069789537,1569.24069789537,0,0.982151059252024,9569.24069789537,25569.2406978954
1.98,1,8000,24000,1520.67131228458,1520.67131228458,0,0.982822589043184,9520.67131228458,25520.6713122846
2,1,8000,24000,1474.68761629821,1474.68761629821,0,0.983385588790259,9474.68761629821,25474.6876162982
2.02,1,8000,24000,1431.08988081086,1431.08988081086,0,0.983966904516852,9431.08988081086,25431.0898808109
2.04,1,8000,24000,1389.72920827791,1389.72920827791,0,0.984507202541905,9389.72920827791,25389.7292082779
2.06,1,8000,24000,1350.45414757928,1350.45414757928,0,0.985010011158308,9350.45414757928,25350.4541475793
2.08,1,8000,24000,1313.11776779629,1313.11776779629,0,0.985533202862153,9313.11776779629,25313.1177677963
2.1,1,8000,24000,1277.59852812145,1277.59852812145,0,0.98596816129981,9277.59852812145,25277.5985281214
2.12,1,8000,24000,1243.78442389641,1243.78442389641,0,0.986425927366507,9243.78442389641,25243.7844238964
2.14,1,8000,24000,1211.56119676471,1211.56119676471,0,0.986803014899163,9211.56119676471,25211.5611967647
2.16,1,8000,24000,1180.82652192062,1180.82652192062,0,0.987204687769301,9180.82652192062,25180.8265219206
2.18,1,8000,24000,1151.4953516194,1151.4953516194,0,0.987580737880642,9151.4953516194,25151.4953516194
2.2,1,8000,24000,1123.48158203568,1123.48158203568,0,0.987932981979769,9123.48158203568,25123.4815820357
2.22,1,8000,24000,1096.70806576598,1096.70806576598,0,0.98826286720562,9096.70806576598,25096.708065766
2.24,1,8000,24000,1071.09173495004,1071.09173495004,0,0.988618618456793,9071.09173495004,25071.09173495
2.26,1,8000,24000,1046.57462758473,1046.57462758473,0,0.988907874350578,9046.57462758473,25046.5746275847
2.28,1,8000,24000,1023.09444032595,1023.09444032595,0,0.98922338980943,9023.09444032595,25023.0944403259
2.3,1,8000,24000,1000.58866401733,1000.58866401733,0,0.989477200126959,9000.58866401733,25000.5886640173
2.32,1,8000,24000,979.00058308296,979.00058308296,0,0.989758049285088,8979.00058308296,24979.000583083
2.34,1,8000,24000,958.286185641077,958.286185641077,0,0.990022542853582,8958.28618564108,24958.2861856411
2.36,1,8000,24000,938.395604402553,938.395604402553,0,0.990271931404223,8938.39560440255,24938.3956044026
2.38,1,8000,24000,919.283807610461,919.283807610461,0,0.990507356646801,8919.28380761046,24919.2838076105
2.4,1,8000,24000,900.910144524611,900.910144524611,0,0.990729322901391,8900.91014452461,24900.9101445246
2.42,1,8000.00000000001,24000,883.237943537515,883.237943537515,0,0.990938792480337,8883.23794353752,24883.2379435375
2.44,1,8000,24000,866.233128616669,866.233128616669,0,0.991174890856877,8866.23312861667,24866.2331286167
2.46,1,8000,24000,849.847652097374,849.847652097374,0,0.991360952510048,8849.84765209737,24849.8476520974
2.48,1,8000,24000,834.069931374413,834.069931374413,0,0.991536689300919,8834.06993137441,24834.0699313744
2.5,1,7999.99999999999,24000,818.854426672095,818.854426672095,0,0.991739015074962,8818.85442667209,24818.8544266721
2.52,1,8000,24000,804.188768799834,804.188768799834,0,0.991931222571867,8804.18876879983,24804.1887687998
2.54,1,8000,24000,790.028563036711,790.028563036711,0,0.99207808635326,8790.02856303671,24790.0285630367
2.56,1,7999.99999999999,24000,776.361453478785,776.361453478785,0,0.992251669320277,8776.36145347878,24776.3614534788
2.58,1,8000,24000,763.163624545915,763.163624545915,0,0.992416513554547,8763.16362454591,24763.1636245459
2.6,1,8000,24000,750.411604089811,750.411604089811,0,0.992573308095493,8750.41160408981,24750.4116040898
2.62,1,8000,24000,738.084010414206,738.084010414206,0,0.992722150902664,8738.08401041421,24738.0840104142
2.64,1,8000,24000.0000000001,726.16137734545,726.16137734545,0,0.992863462153083,8726.16137734545,24726.1613773455
2.66,1,8000,24000,714.625997778942,714.625997778942,0,0.992997806351433,8714.62599777894,24714.6259977789
2.68,1,8000,24000,703.461783908861,703.461783908861,0,0.993125892923856,8703.46178390886,24703.4617839089
