"X","Y","PE_before","PE_after","optimal_N_tau","N_min","ba_flag","PE_optimal","max_N_tau_before","max_N_tau_after"
2.88,1,4000,4000,2286.06246558347,2286.06246558347,0,0.9472854107181,6286.06246558347,6286.06246558347
2.9,1,4000,8000.00000000001,2244.29498554599,2244.29498554599,0,0.948270246421033,6244.29498554599,10244.294985546
2.92,1,4000,7999.99999999996,2203.77891138814,2203.77891138814,0,0.949224367106014,6203.77891138814,10203.7789113881
2.94,1,4000,7999.99999999997,2164.46472683483,2164.46472683483,0,0.950149024875254,6164.46472683483,10164.4647268348
2.96,1,4000,8000,2126.3059463544,2126.3059463544,0,0.951045397566857,6126.3059463544,10126.3059463544
2.98,1,4000,8000.00000000004,2089.25891953356,2089.25891953356,0,0.951914591112078,6089.25891953356,10089.2589195336
3,1,4000,8000.00000000004,2053.28265003476,2053.28265003476,0,0.95275745456236,6053.28265003476,10053.2826500348
1,1.02,0,0,95637.6464720301,95637.6464720301,0,0.0843727672599465,0,0
1.02,1.02,0,0,89109.1996802202,89109.1996802202,0,0.100538625296272,0,0
1.04,1.02,0,0,83050.3677781148,83050.3677781148,0,0.118314343860725,0,0
1.06,1.02,0,0,77432.8973446161,77432.8973446161,0,0.137490065324113,0,0
1.08,1.02,0,0,72228.0049583707,72228.0049583707,0,0.158053569642425,0,0
1.1,1.02,0,0,67408.5716865329,67408.5716865329,0,0.179782433570974,0,0
1.12,1.02,0,0,62947.9115667869,62947.9115667869,0,0.202493587857173,0,0
1.14,1.02,0,0,58820.4948866164,58820.4948866164,0,0.225993819661614,0,0
1.16,1.02,0,0,55002.0701576026,55002.0701576026,0,0.250086531274474,0,0
1.18,1.02,0,0,51469.7415059525,51469.7415059525,0,0.274577932815332,0,0
1.2,1.02,0,0,48201.8265476562,48201.8265476562,0,0.299483123061803,0,0
1.22,1.02,0,0,45177.9142900609,45177.9142900609,0,0.324244602331756,0,0
1.24,1.02,0,0,42379.3432128102,42379.3432128102,0,0.349116545636677,0,0
1.26,1.02,0,0,39788.3917736799,39788.3917736799,0,0.373511184236431,0,0
1.28,1.02,0,0,37388.5076088957,37388.5076088957,0,0.397776191818012,0,0
1.3,1.02,0,0,35164.7695507901,35164.7695507901,0,0.421570985582994,0,0
1.32,1.02,0,0,33103.16446488,33103.16446488,0,0.444804097863915,0,0
1.34,1.02,0,0,31190.7787850147,31190.7787850147,0,0.46767895063026,0,0
