"ntau","K","pe"
16800,1000200,0.656219605593404
16900,1000200,0.652086392753921
17000,1000200,0.652086392753921
17100,1000200,0.647915788110466
17200,1000200,0.647915788110466
17300,1000200,0.643707853459944
17400,1000200,0.643707853459944
17500,1000200,0.63946266477864
17600,1000200,0.63946266477864
17700,1000200,0.635180312605781
17800,1000200,0.635180312605781
17900,1000200,0.630860902429507
18000,1000200,0.630860902429507
18100,1000200,0.626504555074899
18200,1000200,0.626504555074899
18300,1000200,0.62211140709377
18400,1000200,0.62211140709377
18500,1000200,0.617681610347032
18600,1000200,0.617681610347032
18700,1000200,0.613215333933723
18800,1000200,0.613215333933723
18900,1000200,0.608712764838969
19000,1000200,0.608712764838969
19100,1000200,0.604174106441485
19200,1000200,0.604174106441485
19300,1000200,0.59959957980841
19400,1000200,0.59959957980841
19500,1000200,0.594989424087246
19600,1000200,0.594989424087246
19700,1000200,0.590343896896567
19800,1000200,0.590343896896567
19900,1000200,0.585663274714999
20000,1000200,0.585663274714999
20100,1000200,0.580947853267917
20200,1000200,0.580947853267917
20300,1000200,0.580947853267917
20400,1000200,0.576197947911309
20500,1000200,0.576197947911309
20600,1000200,0.571413788164184
20700,1000200,0.571413788164184
20800,1000200,0.56659594120836
20900,1000200,0.56659594120836
21000,1000200,0.561744677991581
21100,1000200,0.561744677991581
21200,1000200,0.561744677991581
21300,1000200,0.556860396153452
21400,1000200,0.556860396153452
21500,1000200,0.551943514819549
21600,1000200,0.551943514819549
21700,1000200,0.551943514819549
21800,1000200,0.546994474955059
21900,1000200,0.546994474955059
22000,1000200,0.542013739710952
22100,1000200,0.542013739710952
22200,1000200,0.537001794761903
22300,1000200,0.537001794761903
22400,1000200,0.537001794761903
22500,1000200,0.531959148635185
22600,1000200,0.531959148635185
22700,1000200,0.526886333029717
22800,1000200,0.526886333029717
22900,1000200,0.526886333029717
23000,1000200,0.521783806466995
23100,1000200,0.521783806466995
23200,1000200,0.516652341109224
23300,1000200,0.516652341109224
23400,1000200,0.516652341109224
23500,1000200,0.511492443438881
23600,1000200,0.511492443438881
23700,1000200,0.511492443438881
23800,1000200,0.506304740805064
23900,1000200,0.506304740805064
24000,1000200,0.501089885145541
24100,1000200,0.501089885145541
24200,1000200,0.501089885145541
24300,1000200,0.49584855322808
24400,1000200,0.49584855322808
24500,1000200,0.49584855322808
24600,1000200,0.490581446875501
24700,1000200,0.490581446875501
24800,1000200,0.485289293173437
24900,1000200,0.485289293173437
25000,1000200,0.485289293173437
25100,1000200,0.479972844659762
25200,1000200,0.479972844659762
25300,1000200,0.479972844659762
25400,1000200,0.474632879494632
25500,1000200,0.474632879494632
25600,1000200,0.474632879494632
25700,1000200,0.469270114678111
25800,1000200,0.469270114678111
25900,1000200,0.469270114678111
26000,1000200,0.463885553952765
26100,1000200,0.463885553952765
26200,1000200,0.458479966192702
26300,1000200,0.458479966192702
26400,1000200,0.458479966192702
26500,1000200,0.453054233322113
26600,1000200,0.453054233322113
26700,1000200,0.453054233322113
26800,1000200,0.447609263408639
26900,1000200,0.447609263408639
27000,1000200,0.447609263408639
27100,1000200,0.442145990693923
27200,1000200,0.442145990693923
27300,1000200,0.442145990693923
27400,1000200,0.436665375596924
27500,1000200,0.436665375596924
27600,1000200,0.436665375596924
27700,1000200,0.431168404688812
27800,1000200,0.431168404688812
27900,1000200,0.431168404688812
28000,1000200,0.425656090638272
28100,1000200,0.425656090638272
28200,1000200,0.425656090638272
28300,1000200,0.425656090638272
28400,1000200,0.420129472126045
28500,1000200,0.420129472126045
28600,1000200,0.420129472126045
28700,1000200,0.414589536923066
28800,1000200,0.414589536923066
28900,1000200,0.414589536923066
29000,1000200,0.409037604172019
29100,1000200,0.409037604172019
29200,1000200,0.409037604172019
29300,1000200,0.403474561411925
29400,1000200,0.403474561411925
29500,1000200,0.403474561411925
29600,1000200,0.397901626204871
29700,1000200,0.397901626204871
29800,1000200,0.397901626204871
29900,1000200,0.397901626204871
30000,1000200,0.392319964851032
30100,1000200,0.392319964851032
30200,1000200,0.392319964851032
30300,1000200,0.386730768438024
30400,1000200,0.386730768438024
30500,1000200,0.386730768438024
30600,1000200,0.386730768438024
30700,1000200,0.381135252507381
30800,1000200,0.381135252507381
30900,1000200,0.381135252507381
31000,1000200,0.375534656681076
31100,1000200,0.375534656681076
31200,1000200,0.375534656681076
31300,1000200,0.369930244247006
31400,1000200,0.369930244247006
31500,1000200,0.369930244247006
31600,1000200,0.369930244247006
31700,1000200,0.364323301702405
31800,1000200,0.364323301702405
31900,1000200,0.364323301702405
32000,1000200,0.364323301702405
32100,1000200,0.358715071799013
